         9627 function calls (9460 primitive calls) in 1.214 seconds

   Ordered by: cumulative time, call count
   List reduced from 568 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.026    0.013    0.027    0.013 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/arrays/datetimes.py:125(f)
      123    0.023    0.000    0.023    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.021    0.021 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2190(_form_blocks)
        4    0.017    0.004    0.021    0.005 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/managers.py:2246(_stack_arrays)
       10    0.020    0.002    0.020    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/dtypes/concat.py:52(concat_compat)
        2    0.000    0.000    0.019    0.010 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:6662(copy)
        7    0.000    0.000    0.016    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:7142(fillna)
        7    0.000    0.000    0.015    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/base.py:180(fillna)
        7    0.001    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/nanops.py:253(_get_values)
        7    0.000    0.000    0.014    0.002 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/internals/blocks.py:1643(fillna)


