         11199 function calls (11032 primitive calls) in 5.951 seconds

   Ordered by: cumulative time, call count
   List reduced from 568 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.111    0.028 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/indexes/extension.py:67(fget)
        2    0.103    0.051    0.110    0.055 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/arrays/datetimes.py:125(f)
       10    0.104    0.010    0.104    0.010 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/dtypes/concat.py:52(concat_compat)
        2    0.000    0.000    0.071    0.035 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:6662(copy)
      607    0.010    0.000    0.065    0.000 <frozen codecs>:322(decode)
        1    0.000    0.000    0.065    0.065 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:4951(select_dtypes)
      607    0.056    0.000    0.056    0.000 {built-in method _codecs.utf_8_decode}
        9    0.000    0.000    0.041    0.005 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:4271(__setitem__)
        9    0.000    0.000    0.041    0.005 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/frame.py:4514(_set_item)
        7    0.001    0.000    0.041    0.006 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/site-packages/pandas/core/generic.py:7142(fillna)


